id,text,amountUsed.text.curated,amountUsed.value.curated,amountUsed.position.curated,substanceUsed.text.curated,substanceUsed.value.curated,substanceUsed.position.curated,checkedBy.text.curated,checkedBy.value.curated,checkedBy.position.curated,placeOfOffense.text.curated,placeOfOffense.value.curated,placeOfOffense.position.curated,measuringDevice.text.curated,measuringDevice.value.curated,measuringDevice.position.curated,measuringMethod.text.curated,measuringMethod.value.curated,measuringMethod.position.curated,vehicleModel.text.curated,vehicleModel.value.curated,vehicleModel.position.curated,dateOfOffense.text.curated,dateOfOffense.value.curated,dateOfOffense.position.curated,measuringTime.text.curated,measuringTime.value.curated,measuringTime.position.curated,timeOfOffense.text.curated,timeOfOffense.value.curated,timeOfOffense.position.curated,vehicleType.text.curated,vehicleType.value.curated,vehicleType.position.curated,refusedTesting.text.curated,refusedTesting.value.curated,refusedTesting.position.curated,placeDetails.text.curated,placeDetails.value.curated,placeDetails.position.curated,reasonForCheck.text.curated,reasonForCheck.value.curated,reasonForCheck.position.curated,licenseStatus.text.curated,licenseStatus.value.curated,licenseStatus.position.curated,typeOfRoad.text.curated,typeOfRoad.value.curated,typeOfRoad.position.curated
115689115,"dňa 04. 11. 2022 v čase okolo 13,33 hodiny viedol pod vplyvom alkoholu osobné motorové vozidlo Ford Galaxy s poľským evidenčným číslom W. po ceste číslo I/59 smerom od mesta Trstená do Poľskej republiky, kde bol pri čerpacej stanici Benzinol zastavený a kontrolovaný hliadkou Obvodného oddelenia Policajného zboru Trstená z dôvodu prekročenia najvyššej povolenej rýchlosti, pri kontrole sa podrobil dychovej skúške na zistenie alkoholu prístrojom AlcoQuant 6020 plus evidenčné číslo A409741, a bola mu nameraná hodnota 0,64 miligramov etanolu v litri vydýchnutého vzduchu","0,64 miligramov etanolu v litri",,,alkoholu; etanolu,alcohol; alcohol,,hliadkou Obvodného oddelenia Policajného zboru Trstená,,"(267, 321)",Trstená,,,AlcoQuant 6020 plus,,,dychovej skúške,breath,"(399, 414)",Ford Galaxy,,"(95, 106)",04. 11. 2022,,"(4, 16)",,,,"13,33",,"(30, 35)",osobné motorové vozidlo,car,"(71, 94)",podrobil,FALSE,"(390, 398)",čerpacej stanici Benzinol,,"(216, 241)",prekročenia najvyššej povolenej rýchlosti,speeding,,,,,ceste číslo I/59,class_I,"(141, 157)"
116690114,"dňa 16.11.2022 v čase o 02,24 h, po tom, čo požil alkoholické nápoje a privodil si tak opilosť s hladinou 0,68 mg/l alkoholu v dychu, v takom stave v obci H., po ceste G./XXXX, okres P. viedol osobné motorové vozidlo zn. W. , EČ: XBPXXX, MPZ CZ, pričom jazdil zo strany na stranu, preto bol zastavený a kontrolovaný hliadkou PPZ Úradu hraničnej a cudzineckej polície, Oddelenia hraničnej kontroly P. Q.,","0,68 mg/l",,"(106, 115)",alkoholické nápoje; alkoholu,None; alcohol,"(50, 68); (116, 124)","hliadkou PPZ Úradu hraničnej a cudzineckej polície, Oddelenia hraničnej kontroly P.",,"(316, 399)",H.,,"(155, 157)",,,,dychu,breath,"(127, 132)",W,,"(221, 222)",16.11.2022,,"(4, 14)",,,,"2,24",,"(24, 29)","osobné motorové
vozidlo",car,"(193, 216)",,,,ceste G.,,"(162, 170)",jazdil zo strany na stranu,suspected_intoxication,"(253, 279)",,,,,,
116262310,", Ž E dňa 08. 11. 2022 v čase o 23:17 hod. v meste Š. na O. ulici, po predchádzajúcom požití alkoholických nápojov viedol osobné motorové vozidlo značky Peugeot 206, evidenčného čísla V., kde bol hliadkou OO PZ Šaľa zastavený predpísaným spôsobom, po zastavení bol v čase o 23:30 hod. podrobený dychovej skúške na zistenie prítomnosti alkoholu v dychu pomocou elektronického merača typu AlcoQuant 6020plus, čísla R., ktorým mu bola v čase o 23.30 hod. zistená hodnota 0,68 mg/l alkoholu vdychu, čo v prepočte činí 1,42 promile, pričom dňa 30. 06. 2021 bol postihnutý v blokovom konaní pokutou vo výške 650,- eur, č. bloku XXXXXXXXXX, za priestupok podľa § 22 ods. 1 písm. e) zákona č. 372/1990 Zb. o priestupkoch - vedenie vozidla pod vplyvom alkoholu,","0,68 mg/l",,"(469, 478)",alkoholických nápojov; alkoholu,alcohol; alcohol,"(94, 115); (479, 487)",hliadkou OO PZ Šaľa,,"(197, 216)",Š.,,"(52, 54)","AlcoQuant 6020plus,",,"(388, 407)",dychovej skúške,breath,"(296, 311)",Peugeot 206,,"(154, 165)",08. 11. 2022,,"(11, 23)",23:30; 23.30,,"(275, 280); (442, 447)",23:17,,"(33, 38)",osobné motorové vozidlo,car,"(123, 146)",,,,O. ulici,,"(58, 66)",,,,,,,,,
116744120,", ž e 13.11.2022 v čase okolo 0:45 hod. viedol ako vodič osobné motorové vozidlo značky X. XXX, evidenčné číslo K., v O. Z. X. po V. ulici, kde bol zastavený a kontrolovaný hliadkou Obvodného oddelenia Policajného zboru Cífer a bezprostredne potom v čase o 0:48 hod. podrobený dychovej skúške analyzátorom dychu typu AlcoQuant 6020 plus, sériové číslo T., pod číslom merania XXXX s pozitívnym výsledkom 0,55 mg/l alkoholu v dychu, čo zodpovedá 1,15 ‰ s tým, že opakovanou dychovou skúškou tým istým meracím prístrojom vykonanou toho istého dňa v čase o 01:10 hod. pod číslom merania XXXX mu bola nameraná hodnota 0,55 mg/l alkoholu v dychu, čo zodpovedá 1,15 ‰,","0,55 mg/l; 0,55 mg/l",,"(404, 413); (614, 623)",alkoholu; alkoholu,alcohol; alcohol,"(414, 422); (624, 632)",hliadkou Obvodného oddelenia Policajného zboru Cífer,,"(174, 226)",O.; X,,"(119, 121); (125, 126)",AlcoQuant 6020 plus,,"(318, 337)",dychovej skúške; dychovou skúškou,breath; breath,"(278, 293); (473, 489)",X.; XXX,,"(89, 91); (92, 95)",13.11.2022,,"(7, 17)",0:48; 01:10,,"(258, 262); (554, 559)",0:45,,"(31, 35)",osobné motorové vozidlo,car,"(58, 81)",,,,V. ulici,,"(131, 140)",kontrolovaný,traffic_check,"(161, 173)",,,,,,
116508557,", že dňa 30. októbra 2022 v čase približne do 01:53 hod. v Trnave po Strojárenskej ulici po predchádzajúcom požití alkoholu viedol ako vodič osobné motorové vozidlo značky Škoda Felícia, evidenčného čísla B pričom bol následne kontrolovaný hliadkou Pohotovostnej motorizovanej jednotky KR PZ Trnava, ktorá u neho dychovou skúškou prístrojom AlcoQuant 6020 plus, číslo A408989 o 01:53 hod. zistila hodnotu 0,91 mg/l alkoholu v dychu (v prepočte 1,90 promile) a pri následnej dychovej skúške vykonanej o 02:13 hod. hodnotu 0,86 mg/l alkoholu v dychu (v prepočte 1,79 promile),","0,91 mg/l; 0,86 mg/l",,"(406, 415); (522, 531)",alkoholu; alkoholu,alcohol; alcohol,"(416, 424); (532, 540)",hliadkou Pohotovostnej motorizovanej jednotky KR PZ Trnava,,"(241, 299)",Trnave,,"(60, 66)",AlcoQuant 6020 plus,,"(342, 361)",dychovou skúškou,breath,"(314, 330)",Škoda Felícia,,"(173, 186)",30. októbra 2022,,"(10, 26)",01:53; 02:13,,"(379, 384); (503, 508)",približne do 01:53,,"(34, 52)",osobné motorové vozidlo,car,"(142, 165)",zistila,FALSE,"(390, 397)",Strojárenskej ulici,,"(70, 89)",kontrolovaný,traffic_check,"(228, 240)",,,,,,
116281128,", ž e dňa 16. júla 2022 v čase okolo 22:35 hod., po ceste II/546, v smere jazdy od obce Švedlár do obce Nálepkovo, okres Gelnica, viedol osobné motorové vozidlo továrenskej značky L. po predchádzajúcom požití alkoholických nápojov, čo bolo zistené počas cestnej kontroly vykonaním dychovej skúšky prostredníctvom elektronického merača typu AlcoQuant 6020 plus, evidenčného čísla A409602, kedy mu bola v dychu nameraná hodnota 0,64 mg/l alkoholu, a to napriek tomu, že trestným rozkazom Okresného súdu Spišská Nová Ves zo dňa 27.12.2019, sp. zn. 0T 84/19, právoplatným dňa 27.12.2019, mu bol uložený trest zákazu činnosti viesť všetky druhy motorových vozidiel v trvaní 67 mesiacov, t. j. od 24.12.2019 do 24.7.2025,","0,64 mg/l",,"(427, 436)",alkoholických nápojov; alkoholu,alcohol; alcohol,"(210, 231); (437, 445)",,,,od obce Švedlár do obce Nálepkovo; Švedlár; Nálepkovo; Gelnica,,"(81, 114); (89, 96); (105, 114); (122, 129)",AlcoQuant 6020 plus,,"(341, 360)",dychovej skúšky,breath,"(282, 297)",L.,,"(181, 183)",16. júla 2022,,"(11, 24)",,,,22:35,,"(38, 43)",osobné motorové vozidlo,car,"(138, 161)",vykonaním,FALSE,"(272, 281)",,,,cestnej kontroly,traffic_check,"(255, 271)",trest zákazu činnosti viesť všetky druhy motorových vozidiel,banned,"(600, 660)",ceste II/546,class_II,"(53, 65)"
115893453,"dňa XX.XX.XXXX v čase približne I. XX:XX hod. po predchádzajúcom požití alkoholických nápojov viedla po miestnej komunikácií v M., časť M., v smere od penziónu Y. k autobazáru E. po predchádzajúcom požití alkoholu osobné motorové vozidlo zn. Z. D., ev. č. A., pričom po príchode na miesto dopravnej nehody, ktorej účastníkom mal byť jej spolujazdec, bola príslušníkom ORPZ Y., I., vyzvaná, aby predložila doklady potrebné na vedenie a prevádzku motorového vozidla a tiež k podrobeniu sa dychovej skúške na zistenie objemu alkoholu vo vydychovanom vzduchu elektronickým prístrojom zn. E. H., ev. č. E.- XXXX, čo i vykonala a v dychu obvinenej bola zistená prítomnosť alkoholu v čase o 19:43 hod. o objeme 1,05 mg/l (2,19 promile) a v čase o 20:08 hod. o objeme 0,87 mg/l (1,81‰),","1,05 mg/l; 0,87 mg/l",,"(704, 713); (760, 769)",alkoholu,alcohol,"(666, 674)","príslušníkom ORPZ Y., I.",,"(355, 379)",M.,,,E,,"(584, 585)",dychovej skúške,breath,,Z.,,,XX.XX.XXXX,,"(4, 14)",19:43; 20:08,,"(684, 689); (740, 745)",XX:XX,,"(35, 40)",osobné motorové vozidlo,car,"(214, 237)",,,,v smere od penziónu Y. k autobazáru E.,,,dopravnej nehody,traffic_accident,"(289, 305)",,,,,,
115811450,", ž e dňa 29.10.2022 v čase okolo 2.37 hod. po predchádzajúcom požití alkoholu viedol ako vodič osobné motorové vozidlo značky Seat Cordoba s evidenčným číslom TT570CF po Poľnej ulici v Trnave, kde bol kontrolovaný hliadkou PMJ KR PZ v Trnave, pri kontrole ktorej bol podrobený dychovej skúške na zistenie alkoholu v dychu elektrochemickým meračom AlcoQuant 6020 plus č. A408989 časom 2.38 hod. s výsledkom 0,87 mg/l alkoholu v dychu a opakovanou dychovou skúškou mu bola časom 2.58 hod. nameraná hodnota 0,89 mg/l alkoholu v dychu,","0,87 mg/l; 0,89 mg/l",,"(408, 417); (506, 515)",alkoholu; alkoholu,alcohol; alcohol,"(418, 426); (516, 524)",hliadkou PMJ KR PZ v Trnave,,"(216, 243)",Trnave,,"(187, 193)",AlcoQuant 6020 plus,,"(349, 368)",dychovej skúške,breath,,Seat Cordoba,,,29.10.2022,,"(11, 21)",2.38; 2.58,,"(386, 390); (479, 483)",2.37 hod.,,"(35, 44)",osobné motorové vozidlo,car,"(97, 120)",,,,Poľnej ulici,,,,,,,,,,,
115420576,"i napriek tomu, že trestným rozkazom Okresného súdu Námestovo spisová značka 4T 31/2020 - 127 zo dňa 20. 07. 2020, ktorý nadobudol právoplatnosť dňa 01. 08. 2020, mu bol, za jazdu pod vplyvom alkoholu, okrem iného, uložený trest zákazu činnosti viesť motorové vozidlá akéhokoľvek druhu po dobu 36 (tridsaťšesť) mesiacov, dňa 16. 10. 2022 v čase okolo 12.31 hodine viedol motocykel značky KORADO MANET bielej farby bez evidenčného čísla, po ceste číslo III/2822 v obci Zákamenné, pričom pri rodinnom dome číslo 748/87 bol zastavený a kontrolovaný hliadkou Obvodného oddelenia PZ zákamenné a vykonanou dychovou skúškou mu bolo dňa 16. 10. 2022 o 12.32 hodine zistené 1,07 mg/l alkoholu v dychu,","1,07 mg/l",,"(665, 674)",alkoholu,alcohol,"(675, 683)",,hliadkou Obvodného oddelenia PZ zákamenné,,Zákamenné,,"(468, 477)",,,,dychovou skúškou,breath,"(600, 616)",KORADO MANET,,"(388, 400)",16. 10. 2022,,"(325, 337)",12.32,,"(644, 649)",12.31,,"(351, 356)",motocykel,motorcycle,"(371, 380)",,,,,rodinnom dome číslo 748/87,,,,,trest zákazu činnosti,banned,,ceste číslo III/2822,class_III,
116592643,"dňa 14.11.2022 v čase o 13.51 hod. viedol nákladné motorové vozidlo zn. F. G., H.: D. po diaľnici D1 km 126,0 v smere Trenčín – Žilina s nákladom 200 kusov streliva s označením GRAD 122 mm pre MRLS BM-21, kde bol v blízkosti Diaľničného oddelenia Trenčín predpísaným spôsobom zastavený a kontrolovaný hliadkou Diaľničnej polície Trenčín, kde pri kontrole bol podrobený dychovej skúške na zistenie prítomnosti alkoholu v dychu dňa 14.11.2022 v čase o 13.51 hod. s výsledkom merania 0,52 mg/l alkoholu v dychu,","0,52
mg/l",,"(481, 490)",alkoholu; alkoholu,alcohol; alcohol,"(409, 417); (491, 499)",hliadkou Diaľničnej polície Trenčín,,"(301, 336)",Trenčín – Žilina,,"(118, 134)",,,,dychovej skúške,breath,"(369, 384)",F.; G,,"(72, 74); (75, 76)",14.11.2022,,"(4, 14)",13.51,,"(450, 455)",13.51,,"(24, 29)",nákladné motorové vozidlo,truck,"(42, 67)",podrobený,FALSE,"(359, 368)",,,,,,,,,,diaľnici D1,motorway,"(89, 100)"
115377674,"dňa 19. októbra 2022 v čase asi o 10:15 hod. riadil osobné motorové vozidlo značky Š. C., evidenčného čísla S.-XXXDP, po ceste č. G., smerom od F., kde v úseku cesty v obci D. H., časť M. M., okres F., pri rodinnom dome č. XX bol zastavený a kontrolovaný hliadkou Obvodného oddelenia PZ Púchov, pričom následne vykonanými dychovými skúškami na alkohol bolo zistené, že v čase vykonania dychových skúšok dňa 19.10.2022 o 10:20 hod. mal hladinu alkoholu v krvi zvýšenú na 0,50 mg/l, o 10:29 hod. na 0,47 mg/l a o 10:42 hod. na 0,46 mg/l,","0,50 mg/l; 0,47 mg/l; 0,46 mg/l",,"(470, 479); (497, 506); (525, 534)",alkohol,alcohol,"(344, 351)",hliadkou Obvodného oddelenia PZ Púchov,,"(255, 293)",D.,,"(173, 175)",,,,dychovými skúškami,breath,"(322, 340)",Š.,,"(83, 85)",19. októbra 2022,,"(4, 20)",10:20; 10:29; 10:42,,"(420, 425); (483, 488); (511, 516)",asi o 10:15,,"(28, 39)",osobné motorové vozidlo,car,"(52, 75)",vykonanými,FALSE,"(311, 321)",ceste č.,,"(121, 129)",,,,,,,,,
115502265,"v čase o 21.12 h dňa 28.10.2022 v Bratislave, po ulici Pri Šajbách viedla osobné motorové vozidlo zn. Škoda Fabia, farby oranžová metalíza - zlatá, S.: Z. XXXSX, pri kontrole hliadkou polície bola vyzvaná k podrobeniu sa dychovej skúške na zistenie prítomnosti alkoholu v dychu, pričom elektronickým meracím prístrojom Alcotest 7510 classic, výrobné číslo ARFM-0548, jej bola v čase o 21.14 h nameraná hodnota 0,56 mg etanolu na liter vydýchnutého vzduchu a v čase o 21.33 h pri opakovanej dychovej skúške hodnota 0,48 mg etanolu na liter vydýchnutého vzduchu,","0,56 mg etanolu na liter; 0,48 mg etanolu na liter",,"(410, 434); (514, 538)",etanolu; etanolu,alcohol; alcohol,,,,,Bratislave,,"(34, 44)",Alcotest 7510 classic,,"(319, 340)",dychovej skúške,breath,"(221, 236)",Škoda Fabia,,"(102, 113)",28.10.2022,,"(21, 31)",21.14; 21.33,,"(385, 390); (467, 472)",21.12,,"(9, 14)",osobné motorové vozidlo,car,"(74, 97)",,,,,,,,,,,,,ulici Pri Šajbách,urban,
1577814,", že dňa 08.01.2018 okolo 09.55 hod. v Dolnom Kubíne viedol osobné motorové vozidlo zn. Škoda Yeti, EČ: Z. XXX I. v smere od čerpacej stanice Slovnaft po ulici Nábrežie Oravy k priestorom Technických služieb, s.r.o. Dolný Kubín, kde v blízkosti križovatky ulíc Nábrežie Oravy a Mokraďská bol zastavený hliadkou Obvodného oddelenia PZ Dolný Kubín, na výzvu ktorej sa podrobil dychovej skúške na zistenie prítomnosti alkoholu v dychu elektronickým prístrojom AlcoQuant 6020 plus, evidenčné číslo A409033, ktorým mu o 09.58 hod. bola nameraná hodnota 1,12 mg/l alkoholu,","1,12 mg/l",,"(549, 558)",alkoholu,alcohol,"(559, 567)",hliadkou Obvodného oddelenia PZ Dolný Kubín,,"(303, 346)",Dolnom Kubíne,,"(40, 53)",AlcoQuant 6020 plus,,"(458, 477)",dychovej skúške,breath,"(376, 391)",Škoda Yeti,,"(89, 99)",08.01.2018,,"(10, 20)",09.58,,"(516, 521)",09.55,,"(27, 32)",osobné motorové vozidlo,car,"(61, 84)",podrobil,FALSE,"(367, 375)","v smere od čerpacej stanice Slovnaft po ulici Nábrežie Oravy k priestorom Technických služieb, s.r.o.; križovatky ulíc Nábrežie Oravy a Mokraďská",,"(115, 216); (246, 288)",,,,,,,ulici Nábrežie Oravy,urban,"(155, 175)"
116662657,"dňa 26.01.2022 v čase po 22:10 h viedla osobné motorové vozidlo zn. Škoda Superb, ev. č.: K. XXX R. po ceste III/2026 a miestnych komunikáciách v obci G., okres Č., kde bola na križovatke ciest v časti zv. U. U. zastavovaná hliadkou OO PZ Turzovka, na zastavovanie nereagovala, s vozidlom unikala, pričom bola hliadkou OO PZ Turzovka prenasledovaná služobným motorovým vozidlom a zastavovaná za pomoci výstražného svetelného zariadenia s nápisom Stop, následkom čoho neskôr vozidlo zastavila pri ľavej krajnici pri radovej zástavbe domov v obci G., z vozidla vystúpila, dala sa na útek, pričom bola hliadkou polície naďalej prenasledovaná a následne pri miestnom potoku vypátraná a stotožnená, podrobila sa dychovej skúške s negatívnym výsledkom, ale keďže javila známky požitia omamných a psychotropných látok, bola vyzvaná na podrobenie sa lekárskemu vyšetreniu odberom krvi alebo iného biologického materiálu, či nie je ovplyvnená inou návykovou látkou, čo odmietla, hoci by to pri vyšetrení nebolo spojené s nebezpečenstvom pre jej zdravie a vozidlo viedla i napriek tomu, že Trestným rozkazom Okresného súdu Čadca sp. zn. 0T/70/2021 z 29.10.2021, ktorý nadobudol právoplatnosť 29.10.2021, jej bol uložený trest zákazu činnosti viesť motorové vozidlá na dobu 18 mesiacov a rozhodnutím o priestupku OR PZ, Okresného dopravného inšpektorátu Čadca pod č. p.: ORP-P-296/ODI-E-2020 z 08.10.2020, ktoré nadobudlo právoplatnosť 06.11.2020, jej bol uložený zákaz činnosti viesť motorové vozidlá na dobu 36 mesiacov odo dňa právoplatnosti rozhodnutia,",negatívnym,,"(725, 735)",,,,OO PZ Turzovka,,"(233, 247)",G.,,"(151, 153)",,,,dychovej skúške; krvi,breath; blood,"(707, 722); (872, 876)",Škoda Superb,,"(68, 80)",26.01.2022,,"(4, 14)",,,,22:10,,"(25, 30)",osobné motorové vozidlo,None,"(40, 63)",podrobila; odmietla,False; True,"(694, 703); (960, 968)",radovej zástavbe domov,,"(515, 537)",,,,zákazu činnosti viesť motorové vozidlá,banned,"(1216, 1254)",ceste III/2026; miestnych komunikáciách,class_III; urban,"(103, 117); (120, 143)"
116482733,", ž e dňa 16.11.2022 asi o 09.40 hod. po predchádzajúcej konzumácii alkoholických nápojov viedol osobné motorové vozidlo zn. H. C. s evidenčným číslom HC XXXCO po ceste II/XXX v O., kde na ulici I. bol zastavený a kontrolovaný policajnou hliadkou Okresného dopravného inšpektorátu v Trnave, následne bol podrobený dychovej skúške, pričom elektrochemický analyzátor dychu T. XXXX plus č. A 409549 v čase o XX.XX hod. nameral v jeho dychu X,XX mg/l alkoholu (v prepočte X,XX promile) a opakovanou dychovou skúškou o 10.05 hod. bol v jeho dychu zaznamenaný alkohol 0,53 mg/l (v prepočte 1,10 promile),","X,XX mg/l; 0,53 mg/l",,"(438, 447); (563, 572)",alkoholických nápojov; alkoholu; alkohol,alcohol; alcohol; alcohol,"(69, 90); (448, 456); (555, 562)",hliadkou Okresného dopravného inšpektorátu v Trnave,,"(239, 290)",O.,,"(179, 181)",T; XXXX plus č.,,"(372, 373); (375, 387)",dychovej skúške; dychovou skúškou,breath; breath,"(315, 330); (496, 512)",H.; C.,,"(126, 128); (129, 131)",16.11.2022,,"(11, 21)",XX.XX; 10.05,,"(406, 411); (515, 520)",09.40,,"(28, 33)",osobné motorové vozidlo,car,"(98, 121)",,,,ulici I,,"(190, 197)",,,,,,,ceste II/XXX,class_II,"(164, 176)"
116541591,"dňa 25.10.2022 v čase okolo 16:17 hod., po predchádzajúcom požití alkoholických nápojov, viedol motorové vozidlo značky Citroen Berlingo, EČV: A po miestnej komunikácii ulice Štefánikova v Námestove, smerom od predajne LIDL ku kruhovému objazdu, pričom keď sa s vozidlom nachádzal pred bytovým domom č. 214, bol hliadkou ODI Dolný Kubín zákonným spôsobom zastavený a kontrolovaný, kde sa podrobil dychovej skúške do analyzátora dychu AlcoQuant 6020 plus, sériové číslo A409032, ktorou mu bola nameraná dňa 25.10.2022 v čase o 16:19 hod. hodnota 0,80 mg/l alkoholu v dychu a dňa 25.10.2022 v čase o 16:37 hod. hodnota 0,96 mg/l alkoholu v dychu, a takto konal napriek tomu, že bol Rozsudkom Okresného súdu v Námestove, spisová značka 6T/114/2020, zo dňa 04.02.2021, ktoré nadobudlo právoplatnosť dňa 05.02.2021, odsúdený za prečin ohrozenia pod vplyvom návykovej látky podľa § 289 ods. 1 Trestného zákona,","0,80 mg/l; 0,96 mg/l",,"(545, 554); (617, 626)",alkoholických; alkoholu; alkoholu,alcohol; alcohol; alcohol,"(66, 79); (555, 563); (627, 635)",hliadkou ODI Dolný Kubín,,"(312, 336)",Námestove,,"(189, 198)",AlcoQuant 6020 plus,,"(434, 453)",dychovej skúške; dychu,breath; breath,"(397, 412); (428, 433)",Citroen Berlingo,,"(120, 136)",25.10.2022,,"(4, 14)",16:19; 16:37,,"(526, 531); (598, 603)",16:17,,"(28, 33)",motorové vozidlo,van,,podrobil,FALSE,"(388, 396)",predajne LIDL ku kruhovému objazdu; bytovým domom č. 214,,"(210, 244); (286, 306)",,,,,,,miestnej komunikácii,urban,"(148, 168)"
115494198,"napriek tomu, že rozhodnutím Okresného dopravného inšpektorátu Okresného riaditeľstva Policajného zboru Levice sp. zn. ORPZ-LV- ODI2-574/2020-P zo dňa 03.02.2021, ktorý nadobudol právoplatnosť toho istého dňa, mu bol okrem iného uložený aj trest zákazu činnosti viesť motorové vozidlá akéhokoľvek druhu na dobu 24 mesiacov pre skutok spáchaný dňa 02.12.2020 pod vplyvom alkoholu, pričom mu bolo nameraných 0,43 mg/l alkoholu v dychu, dňa 28.10.2022 v čase o 21.15 hod. v obci Kalná nad Hronom meste po miestnej komunikácii, viedol po predchádzajúcom požití alkoholu osobné motorové vozidlo zn. Audi TT, EČ: LV 662 GL, čo sa prejavilo tým, že mu bolo dňa 28.10.2022 v čase o 21.23 hod nameraných 0,99 mg/l alkoholu v dychu, a následne o 21.39 hod 1,05 mg/l alkoholu v dychu,","0,99 mg/l; 1,05 mg/l",,"(695, 704); (746, 755)",alkoholu,alcohol,"(756, 764)",,,,Kalná nad Hronom,,"(476, 492)",,,,v dychu; v dychu,breath; breath,"(714, 721); (765, 772)",Audi TT,,"(594, 601)",28.10.2022,,"(438, 448)",21.23; 21.39,,"(674, 679); (736, 741)",21.15,,,osobné motorové vozidlo,car,"(566, 589)",,,,,,,,,,,,,miestnej komunikácii,urban,
116098011,"dňa 08.11.2022 v čase okolo 20.00 hod. po prechádzajúcom požití alkoholických nápojov v stave vylučujúcom spôsobilosť viesť motorové vozidlo, viedol svoje osobné motorové vozidlo zn. Š. D. e.č. N., po miestnych komunikáciách v Č. časti P., pričom bol na ul. F. N. X. Č., hliadkou OO PZ Č. kontrolovaný a ako vodič osobného motorového vozidla vyzvaný a podrobený dychovej skúške na zistenie prítomnosti alkoholu v dychu certifikovaným meracím prístrojom AlcoQuant 6020 plus, sériové číslo A409095, ktorým mu bola dňa 08.11.2022 v čase o 20.43 hod. v dychu nameraná hmotnostná koncentrácia 1,13 miligramu etanolu na liter vydychovaného vzduchu, čo predstavuje 2,35 ‰ a opakovanou dychovou skúškou dňa 08.11.2022 v čase 21.18 hod. mu bola nameraná hodnota 1,01 miligramu etanolu na liter vydychovaného vzduchu, čo predstavuje 2,10 ‰, pričom jeho vodičský preukaz č. O. bol zadržaný a bolo mu vydané potvrdenie o zadržaní vodičského preukazu č. R., čím porušil ustanovenie § 4 ods. 2 písm. d) zákona č. 8/2009 Z.z. o cestnej premávke,","1,13 miligramu; na liter; 1,01 miligramu; na liter",,"(588, 602); (611, 619); (753, 767); (776, 784)",alkoholických; etanolu; etanolu,alcohol; alcohol; alcohol,"(64, 77); (603, 610); (768, 775)",hliadkou OO PZ Č,,"(271, 287)",Č.,,"(227, 229)",AlcoQuant 6020 plus,,"(453, 472)",dychovej; dychovej skúške,breath; breath,"(362, 370); (362, 377)",Š.; D,,"(183, 185); (186, 187)",08.11.2022,,"(4, 14)",21.18 hod.,,"(717, 727)",20.00,,"(28, 33)",osobné motorové vozidlo,car,"(155, 178)",,,,F.; N; X; Č,,"(258, 260); (261, 262); (264, 265); (267, 268)",vyzvaný,traffic_check,"(342, 349)",zadržaný; zadržaní vodičského preukazu,banned; banned,"(870, 878); (909, 937)",miestnych komunikáciách,urban,"(201, 224)"
116169375,"dňa XX.XX.XXXX v čase približne o 15:25 hod. po predchádzajúcom požití alkoholických nápojov viedol po ceste č. III/2132 v smere jazdy zo D. G. do D. osobné motorové vozidlo zn. Š. V., ev. č. C., pričom svoju jazdu neprispôsobil dopravno-technickému stavu cesty a svojim schopnostiam a s osobným motorovým vozidlom zišiel mimo cestu vľavo, kde prešiel cez krovinový porast a následne bol hliadkou OR PZ Martin, ODI, vyzvaný, aby predložil doklady potrebné na vedenie a prevádzku motorového vozidla, čo aj urobil a ďalej bol vyzvaný k podrobeniu sa dychovej skúške na zistenie prítomnosti alkoholu vo vydychovanom vzduch prístrojom zn. S. 6020plus, číslo S., čo i vykonal a v dychu obvineného bola zistená prítomnosť alkoholu v čase o 15:45 hod. v objeme 1,25 mg/l (2,60‰) a v čase o 16:00 hod. v objeme 1,20 mg/ l (2,50‰),","1,25 mg/; 1,20 mg/
l",,"(754, 762); (803, 813)",alkoholických; alkoholu; alkoholu,alcohol; alcohol; alcohol,"(71, 84); (588, 596); (716, 724)","hliadkou OR PZ Martin,
ODI",,"(388, 414)",D; D,,"(138, 139); (147, 148)",S. 6020plus,,"(635, 646)",dychovej skúške; dychu,breath; breath,"(548, 563); (675, 680)",Š,,"(178, 179)",XX.XX.XXXX,,"(4, 14)",15:45; 16:00,,"(734, 739); (783, 788)",15:25,,"(34, 39)",osobné motorové vozidlo,car,"(150, 173)",vykonal,FALSE,"(663, 670)",,,,"svoju
jazdu neprispôsobil dopravno-technickému stavu cesty a svojim schopnostiam a s osobným motorovým
vozidlom zišiel mimo cestu vľavo, kde prešiel cez krovinový porast",traffic_accident,"(203, 372)",,,,III/2132,class_III,"(112, 120)"
